"filename", "language", "JSON with Comments", "JavaScript", "HTML", "JSON", "Markdown", "Python", "Vue", "CSS", "XML", "comment", "blank", "total"
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Api\models.py", "Python", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 18, 90
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Api\serializers.py", "Python", 0, 0, 0, 0, 0, 295, 0, 0, 0, 0, 73, 368
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Api\tests.py", "Python", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 4
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Api\urls.py", "Python", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Api\utils.py", "Python", 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 3, 21
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Api\views.py", "Python", 0, 0, 0, 0, 0, 361, 0, 0, 0, 13, 62, 436
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Ecommerce_Api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Ecommerce_Api\asgi.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 0, 8, 5, 17
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Ecommerce_Api\settings.py", "Python", 0, 0, 0, 0, 0, 95, 0, 0, 0, 27, 38, 160
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Ecommerce_Api\urls.py", "Python", 0, 0, 0, 0, 0, 6, 0, 0, 0, 15, 6, 27
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Ecommerce_Api\wsgi.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 0, 8, 5, 17
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Testing Django API.postman_collection.json", "JSON", 0, 0, 0, 872, 0, 0, 0, 0, 0, 0, 0, 872
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\manage.py", "Python", 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 5, 23
"c:\Users\lobs\Desktop\test\AlanStore\README.md", "Markdown", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 8, 29
"c:\Users\lobs\Desktop\test\AlanStore\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\lobs\Desktop\test\AlanStore\eslintrc.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\lobs\Desktop\test\AlanStore\index.html", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\lobs\Desktop\test\AlanStore\jsconfig.json", "JSON with Comments", 8, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 20
"c:\Users\lobs\Desktop\test\AlanStore\package-lock.json", "JSON", 0, 0, 0, 15690, 0, 0, 0, 0, 0, 0, 1, 15691
"c:\Users\lobs\Desktop\test\AlanStore\package.json", "JSON", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 1, 73
"c:\Users\lobs\Desktop\test\AlanStore\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\lobs\Desktop\test\AlanStore\public\index.html", "HTML", 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 1, 19
"c:\Users\lobs\Desktop\test\AlanStore\public\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"c:\Users\lobs\Desktop\test\AlanStore\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 4, 31
"c:\Users\lobs\Desktop\test\AlanStore\src\Plugins\vuetify.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\lobs\Desktop\test\AlanStore\src\Plugins\webfontloader.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 5, 3, 16
"c:\Users\lobs\Desktop\test\AlanStore\src\assets\css\app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"c:\Users\lobs\Desktop\test\AlanStore\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\lobs\Desktop\test\AlanStore\src\cart.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\lobs\Desktop\test\AlanStore\src\components\HelloWorld.vue", "Vue", 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 13, 153
"c:\Users\lobs\Desktop\test\AlanStore\src\components\SingleDigitalProduct.vue", "Vue", 0, 0, 0, 0, 0, 0, 362, 0, 0, 5, 41, 408
"c:\Users\lobs\Desktop\test\AlanStore\src\components\SingleProduct.vue", "Vue", 0, 0, 0, 0, 0, 0, 321, 0, 0, 4, 21, 346
"c:\Users\lobs\Desktop\test\AlanStore\src\components\admintoolscomponentes\DigitalCategoriesCreator.vue", "Vue", 0, 0, 0, 0, 0, 0, 460, 0, 0, 0, 37, 497
"c:\Users\lobs\Desktop\test\AlanStore\src\components\admintoolscomponentes\invitationcodetool.vue", "Vue", 0, 0, 0, 0, 0, 0, 119, 0, 0, 2, 12, 133
"c:\Users\lobs\Desktop\test\AlanStore\src\components\admintoolscomponentes\usermanages.vue", "Vue", 0, 0, 0, 0, 0, 0, 257, 0, 0, 4, 30, 291
"c:\Users\lobs\Desktop\test\AlanStore\src\components\admintoolscomponentes\wallet.vue", "Vue", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 7, 82
"c:\Users\lobs\Desktop\test\AlanStore\src\components\creators\AddDigitalProduct.vue", "Vue", 0, 0, 0, 0, 0, 0, 176, 0, 0, 0, 20, 196
"c:\Users\lobs\Desktop\test\AlanStore\src\components\creators\AddProduct.vue", "Vue", 0, 0, 0, 0, 0, 0, 202, 0, 0, 0, 10, 212
"c:\Users\lobs\Desktop\test\AlanStore\src\components\digital_product_view.vue", "Vue", 0, 0, 0, 0, 0, 0, 175, 0, 0, 0, 13, 188
"c:\Users\lobs\Desktop\test\AlanStore\src\components\headerNav.vue", "Vue", 0, 0, 0, 0, 0, 0, 115, 0, 0, 8, 5, 128
"c:\Users\lobs\Desktop\test\AlanStore\src\components\homeview.vue", "Vue", 0, 0, 0, 0, 0, 0, 561, 0, 0, 6, 89, 656
"c:\Users\lobs\Desktop\test\AlanStore\src\components\newsbox.vue", "Vue", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 3, 44
"c:\Users\lobs\Desktop\test\AlanStore\src\components\payments\inventory.vue", "Vue", 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 18, 164
"c:\Users\lobs\Desktop\test\AlanStore\src\components\payments\rechar.vue", "Vue", 0, 0, 0, 0, 0, 0, 191, 0, 0, 2, 13, 206
"c:\Users\lobs\Desktop\test\AlanStore\src\components\productCard.vue", "Vue", 0, 0, 0, 0, 0, 0, 240, 0, 0, 0, 22, 262
"c:\Users\lobs\Desktop\test\AlanStore\src\components\realtimelastbuy.vue", "Vue", 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 7, 133
"c:\Users\lobs\Desktop\test\AlanStore\src\components\realtimenewproduct.vue", "Vue", 0, 0, 0, 0, 0, 0, 321, 0, 0, 0, 26, 347
"c:\Users\lobs\Desktop\test\AlanStore\src\components\shopingcartpreloader.vue", "Vue", 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 2, 105
"c:\Users\lobs\Desktop\test\AlanStore\src\components\usersdashboard\orders.vue", "Vue", 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 3, 142
"c:\Users\lobs\Desktop\test\AlanStore\src\components\usersdashboard\profile_modification.vue", "Vue", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 13, 98
"c:\Users\lobs\Desktop\test\AlanStore\src\components\usersdashboard\sell_orders.vue", "Vue", 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 3, 190
"c:\Users\lobs\Desktop\test\AlanStore\src\components\usersdashboard\users_profile_component.vue", "Vue", 0, 0, 0, 0, 0, 0, 82, 0, 0, 6, 12, 100
